116		P		4680		1518
117		B		4600		1303
118		B		4640		1398
119		I		4800		6923
120		B		4720		1173
121		B		4760		991
122		P		4920		1789
123		B		4840		1125
124		B		4880		1195
125		P		5040		1418
126		B		4960		1229
127		B		5000		1266
128		P		5160		1456
129		B		5080		1299
130		B		5120		1308
131		I		5280		6928
132		B		5200		989
133		B		5240		905
134		P		5400		1524
135		B		5320		1174
136		B		5360		1296
137		P		5520		1443
138		B		5440		1109
139		B		5480		1134
140		P		5640		1470
141		B		5560		1104
142		B		5600		1082
143		I		5760		6948
144		B		5680		999
145		B		5720		897
146		P		5880		1620
147		B		5800		1106
148		B		5840		1186
149		P		6000		1400
150		B		5920		1187
151		B		5960		1254
152		P		6120		1473
153		B		6040		1088
154		B		6080		1071
155		I		6240		6866
156		B		6160		915
157		B		6200		1059
158		P		6360		1493
159		B		6280		1237
160		B		6320		1515
161		P		6480		1508
162		B		6400		1284
163		B		6440		1067
164		P		6600		1598
165		B		6520		1104
166		B		6560		1106
167		I		6720		6928
168		B		6640		1016
169		B		6680		987
170		P		6840		1631
171		B		6760		1224
172		B		6800		1202
173		P		6960		1514
174		B		6880		1275
175		B		6920		1105
176		P		7080		1460
177		B		7000		1110
178		B		7040		1131
179		I		7200		6965
180		B		7120		1165
181		B		7160		863
182		P		7320		1652
183		B		7240		1360
184		B		7280		1354
185		P		7440		1402
186		B		7360		1541
187		B		7400		1245
188		P		7560		1429
189		B		7480		1086
190		B		7520		1399
191		I		7680		6962
192		B		7600		895
193		B		7640		994
194		P		7800		1476
195		B		7720		1406
196		B		7760		1259
197		P		7920		1429
198		B		7840		1365
199		B		7880		1203
200		P		8040		1444
201		B		7960		1091
202		B		8000		1239
203		I		8160		6897
204		B		8080		897
205		B		8120		948
206		P		8280		1684
207		B		8200		1305
208		B		8240		1349
209		P		8400		1344
210		B		8320		1152
211		B		8360		1164
212		P		8520		1361
213		B		8440		1035
214		B		8480		1179
215		I		8640		6893
216		B		8560		929
217		B		8600		879
218		P		8760		1606
219		B		8680		1158
220		B		8720		1301
221		P		8880		1539
222		B		8800		1076
223		B		8840		1138
224		P		9000		1372
225		B		8920		1152
226		B		8960		1061
227		I		9120		6847
228		B		9040		993
229		B		9080		1043
230		P		9240		1704
231		B		9160		1163
232		B		9200		1249
233		P		9360		1281
234		B		9280		1193
235		B		9320		1167
236		P		9480		1291
237		B		9400		1113
238		B		9440		1245
239		I		9600		6897
240		B		9520		857
241		B		9560		975
242		P		9720		1420
243		B		9640		1228
244		B		9680		1306
245		P		9840		1613
246		B		9760		992
247		B		9800		1160
248		P		9960		1277
249		B		9880		1188
250		B		9920		1290
251		I		10080		6867
252		B		10000		977
253		B		10040		839
254		P		10200		1485
255		B		10120		1353
256		B		10160		1338
257		P		10320		1547
258		B		10240		1276
259		B		10280		1240
260		P		10440		1358
261		B		10360		1140
262		B		10400		1155
263		I		10560		6808
264		B		10480		930
265		B		10520		872
266		P		10680		1511
267		B		10600		1046
268		B		10640		1279
269		P		10800		1228
270		B		10720		1146
271		B		10760		1107
272		P		10920		1252
273		B		10840		1008
274		B		10880		1087
275		I		11040		6908
276		B		10960		1131
277		B		11000		1126
278		P		11160		1648
279		B		11080		1147
280		B		11120		1345
281		P		11280		1216
282		B		11200		1315
283		B		11240		1363
284		P		11400		1529
285		B		11320		1261
286		B		11360		1226
287		I		11520		6833
288		B		11440		929
289		B		11480		934
290		P		11640		1367
291		B		11560		1244
292		B		11600		1246
293		P		11760		1290
294		B		11680		1240
295		B		11720		1222
296		P		11880		1349
297		B		11800		988
298		B		11840		1042
299		I		12000		6852
300		B		11920		916
301		B		11960		933
302		P		12120		1399
303		B		12040		1165
304		B		12080		1215
305		P		12240		1278
306		B		12160		1049
307		B		12200		1084
308		P		12360		1243
309		B		12280		1117
310		B		12320		1101
311		I		12480		6854
312		B		12400		1164
313		B		12440		903
314		P		12600		1480
315		B		12520		1105
316		B		12560		1442
317		P		12720		1339
318		B		12640		1226
319		B		12680		1214
320		P		12840		1322
321		B		12760		1088
322		B		12800		1434
323		I		12960		6850
324		B		12880		910
325		B		12920		840
326		P		13080		1557
327		B		13000		1285
328		B		13040		1306
329		P		13200		1372
330		B		13120		1202
331		B		13160		1130
332		P		13320		1506
333		B		13240		1003
334		B		13280		1121
335		I		13440		6797
336		B		13360		940
337		B		13400		1214
338		P		13560		1423
339		B		13480		1149
340		B		13520		1189
341		P		13680		1346
342		B		13600		1050
343		B		13640		1080
344		P		13800		1280
345		B		13720		1271
346		B		13760		1109
347		I		13920		6844
348		B		13840		1068
349		B		13880		974
350		P		14040		1549
351		B		13960		1196
352		B		14000		1394
353		P		14160		1664
354		B		14080		1046
355		B		14120		1101
356		P		14280		1284
357		B		14200		1272
358		B		14240		1106
359		I		14400		6878
360		B		14320		1014
361		B		14360		898
362		P		14520		1461
363		B		14440		1040
364		B		14480		1322
365		P		14640		1441
366		B		14560		1121
367		B		14600		1163
368		P		14760		1485
369		B		14680		1111
370		B		14720		1299
371		I		14880		6782
372		B		14800		815
373		B		14840		996
374		P		15000		1696
375		B		14920		1214
376		B		14960		1328
377		P		15120		1299
378		B		15040		1203
379		B		15080		1082
380		P		15240		1153
381		B		15160		1102
382		B		15200		1156
383		I		15360		6794
384		B		15280		869
385		B		15320		940
386		P		15480		1523
387		B		15400		1195
388		B		15440		1219
389		P		15600		1549
390		B		15520		1401
391		B		15560		1209
392		P		15720		1353
393		B		15640		1164
394		B		15680		1183
395		I		15840		6889
396		B		15760		1000
397		B		15800		1182
398		P		15960		1520
399		B		15880		1189
400		B		15920		1331
401		P		16080		1250
402		B		16000		1374
403		B		16040		1110
404		P		16200		1397
405		B		16120		1070
406		B		16160		1099
407		I		16320		6803
408		B		16240		927
409		B		16280		931
410		P		16440		1520
411		B		16360		1166
412		B		16400		1352
413		P		16560		1461
414		B		16480		1319
415		B		16520		1036
416		P		16680		1359
417		B		16600		1044
418		B		16640		1059
419		I		16800		6886
420		B		16720		1030
421		B		16760		919
422		P		16920		1606
423		B		16840		1212
424		B		16880		1141
425		P		17040		1248
426		B		16960		1157
427		B		17000		1072
428		P		17160		1156
429		B		17080		978
430		B		17120		1169
431		I		17280		6812
432		B		17200		874
433		B		17240		1037
434		P		17400		1644
435		B		17320		1062
436		B		17360		1036
437		P		17520		1244
438		B		17440		1137
439		B		17480		1101
440		P		17640		1650
441		B		17560		1004
442		B		17600		1019
443		I		17760		6795
444		B		17680		1103
445		B		17720		982
446		P		17880		1349
447		B		17800		1270
448		B		17840		1247
449		P		18000		1318
450		B		17920		1055
451		B		17960		1049
452		P		18120		1188
453		B		18040		966
454		B		18080		1373
455		I		18240		6801
456		B		18160		1069
457		B		18200		893
458		P		18360		1461
459		B		18280		1373
460		B		18320		1261
461		P		18480		1244
462		B		18400		1098
463		B		18440		1334
464		P		18600		1279
465		B		18520		1054
466		B		18560		1209
467		I		18720		6804
468		B		18640		1020
469		B		18680		892
470		P		18840		1327
471		B		18760		1171
472		B		18800		1215
473		P		18960		1350
474		B		18880		999
475		B		18920		1019
476		P		19080		1187
477		B		19000		970
478		B		19040		1158
479		I		19200		6861
480		B		19120		878
481		B		19160		1050
482		P		19320		1395
483		B		19240		1411
484		B		19280		1126
485		P		19440		1249
486		B		19360		1062
487		B		19400		1035
488		P		19560		1395
489		B		19480		1013
490		B		19520		1070
491		I		19680		6827
492		B		19600		1189
493		B		19640		887
494		P		19800		1367
495		B		19720		1059
496		B		19760		1138
497		P		19920		1130
498		B		19840		1043
499		B		19880		1243
500		P		20040		1151
501		B		19960		1051
502		B		20000		1028
503		I		20160		6838
504		B		20080		892
505		B		20120		836
506		P		20280		1432
507		B		20200		1122
508		B		20240		1147
509		P		20400		1327
510		B		20320		1122
511		B		20360		1005
512		P		20520		1340
513		B		20440		990
514		B		20480		1067
515		I		20640		6848
516		B		20560		901
517		B		20600		842
518		P		20760		1436
519		B		20680		1200
520		B		20720		1199
521		P		20880		1269
522		B		20800		1102
523		B		20840		1166
524		P		21000		1144
525		B		20920		1041
526		B		20960		1037
527		I		21120		6839
528		B		21040		1070
529		B		21080		958
530		P		21240		1564
531		B		21160		1325
532		B		21200		1232
533		P		21360		1437
534		B		21280		1082
535		B		21320		1102
536		P		21480		1235
537		B		21400		1125
538		B		21440		1346
539		I		21600		6888
540		B		21520		845
541		B		21560		797
542		P		21720		1337
543		B		21640		1371
544		B		21680		1251
545		P		21840		1228
546		B		21760		1100
547		B		21800		1149
548		P		21960		1162
549		B		21880		1044
550		B		21920		1202
551		I		22080		6897
552		B		22000		1130
553		B		22040		1045
554		P		22200		1409
555		B		22120		1542
556		B		22160		1305
557		P		22320		1351
558		B		22240		1195
559		B		22280		1172
560		P		22440		1239
561		B		22360		1329
562		B		22400		1158
563		I		22560		6828
564		B		22480		1050
565		B		22520		1118
566		P		22680		1461
567		B		22600		1053
568		B		22640		1294
569		P		22800		1201
570		B		22720		1113
571		B		22760		1218
572		P		22920		1653
573		B		22840		1042
574		B		22880		1110
575		I		23040		6830
576		B		22960		922
577		B		23000		1298
578		P		23160		1558
579		B		23080		1183
580		B		23120		1104
581		P		23280		1466
582		B		23200		1187
583		B		23240		1125
584		P		23400		1331
585		B		23320		1165
586		B		23360		1232
587		I		23520		6823
588		B		23440		974
589		B		23480		982
590		P		23640		1645
591		B		23560		1173
592		B		23600		1332
593		P		23760		1364
594		B		23680		1055
595		B		23720		1098
596		P		23880		1356
597		B		23800		1125
598		B		23840		1129
599		I		24000		6770
600		B		23920		888
601		B		23960		893
602		P		24120		1424
603		B		24040		1121
604		B		24080		1138
605		P		24240		1126
606		B		24160		966
607		B		24200		1203
608		P		24360		1277
609		B		24280		1057
610		B		24320		1154
611		I		24480		6780
612		B		24400		892
613		B		24440		1008
614		P		24600		1488
615		B		24520		1218
616		B		24560		1087
617		P		24720		1312
618		B		24640		1084
619		B		24680		1055
620		P		24840		1353
621		B		24760		1034
622		B		24800		1000
623		I		24960		6865
624		B		24880		1077
625		B		24920		1046
626		P		25080		1588
627		B		25000		1306
628		B		25040		1122
629		P		25200		1506
630		B		25120		1136
631		B		25160		1299
632		P		25320		1423
633		B		25240		1042
634		B		25280		1073
635		I		25440		6795
636		B		25360		907
637		B		25400		836
638		P		25560		1893
639		B		25480		1029
640		B		25520		1158
641		P		25680		1410
642		B		25600		1096
643		B		25640		1090
644		P		25800		1338
645		B		25720		1064
646		B		25760		1269
647		I		25920		6803
648		B		25840		1005
649		B		25880		977
650		P		26040		1461
651		B		25960		1121
652		B		26000		1268
653		P		26160		1212
654		B		26080		1076
655		B		26120		1112
656		P		26280		1337
657		B		26200		1049
658		B		26240		1101
659		I		26400		6813
660		B		26320		1004
661		B		26360		1115
662		P		26520		1403
663		B		26440		1381
664		B		26480		1284
665		P		26640		1285
666		B		26560		1009
